"destr""	""nuxt-contrib/destr""	""https://github.com/nuxt-contrib/destr""	""29""	""1""	""29""	""1""	""false""	""Faster, secure and convenient alternative for JSON.parse"
"expect""	""allain/expect""	""https://github.com/allain/expect""	""27""	""6""	""27""	""1""	""false""	""helpers for writing jest like expect tests in deno"
"god_crypto""	""invisal/god_crypto""	""https://github.com/invisal/god_crypto""	""27""	""4""	""27""	""4""	""false""	""Pure Javascript/Typescript Crypto Implementation for Deno. AES, RSA, HMAC, and TOTP"
"angular_deno""	""alosaur/angular_deno""	""https://github.com/alosaur/angular_deno""	""27""	""1""	""27""	""3""	""false""	""Angular Deno - Experimental Angular renderer in server with Deno"
"parseargs""	""bartlomieju/parseargs""	""https://github.com/bartlomieju/parseargs""	""27""	""1""	""27""	""0""	""false""	""Migrated to https://github.com/denoland/deno_std"
"sql-builder""	""manyuanrong/sql-builder""	""https://github.com/manyuanrong/sql-builder""	""26""	""7""	""26""	""2""	""false""	""SQL query builder for Deno"
"deno-pretty-assert""	""bokuweb/deno-pretty-assert""	""https://github.com/bokuweb/deno-pretty-assert""	""25""	""1""	""25""	""0""	""true""	""🦕A colorful assertEqual for deno"
"deno_cron""	""rbrahul/deno_cron""	""https://github.com/rbrahul/deno_cron""	""24""	""0""	""24""	""1""	""false""	""A cron Job scheduler for Deno that allows you to write human readable cron syntax with tons of flexibility"
"rhinoder""	""Caesar2011/rhinoder""	""https://github.com/Caesar2011/rhinoder""	""23""	""6""	""23""	""1""	""false""	""Reloads a deno application on file change"
"is-what""	""mesqueeb/is-what""	""https://github.com/mesqueeb/is-what""	""23""	""5""	""23""	""2""	""false""	""JS type check (TypeScript supported) functions like `isPlainObject() isArray()` etc. A simple & small integration."
"soxa""	""fakoua/soxa""	""https://github.com/fakoua/soxa""	""23""	""4""	""23""	""2""	""false""	""Promise based HTTP client for the deno"
"deno-task-runner""	""jinjor/deno-task-runner""	""https://github.com/jinjor/deno-task-runner""	""23""	""4""	""23""	""1""	""false""	""Task runner for deno"
"Denocord""	""Denocord/Denocord""	""https://github.com/Denocord/Denocord""	""23""	""1""	""23""	""2""	""false""	""A fast, strongly typed and versatile Discord API wrapper for the Deno runtime. (WIP)"
"run_exclusive""	""garronej/run_exclusive""	""https://github.com/garronej/run_exclusive""	""23""	""0""	""23""	""2""	""false""	""⚡🔒 Generate functions that do not allow parallel executions 🔒 ⚡"
"merlin""	""crewdevio/merlin""	""https://github.com/crewdevio/merlin""	""23""	""0""	""23""	""1""	""false""	""Testing and Benchmarking framework for deno 🧙‍♂️"
"sockets""	""drashland/sockets""	""https://github.com/drashland/sockets""	""22""	""2""	""22""	""4""	""false""	""A WebSocket library for Deno."
"keep-a-changelog""	""oscarotero/keep-a-changelog""	""https://github.com/oscarotero/keep-a-changelog""	""21""	""7""	""21""	""2""	""false""	""Node package to parse and generate changelogs"
"validasaur""	""emsifa/validasaur""	""https://github.com/emsifa/validasaur""	""21""	""6""	""21""	""2""	""false""	""Deno validation library"
"ask""	""jozsefsallai/ask""	""https://github.com/jozsefsallai/ask""	""21""	""5""	""21""	""4""	""false""	""interactive command-line prompts for deno"
"i18next-http-middleware""	""i18next/i18next-http-middleware""	""https://github.com/i18next/i18next-http-middleware""	""20""	""10""	""20""	""3""	""false""	""i18next-http-middleware is a middleware to be used with Node.js web frameworks like express or Fastify and also for Deno."
"view-engine""	""deligenius/view-engine""	""https://github.com/deligenius/view-engine""	""20""	""3""	""20""	""1""	""false""	""🚀A Template View Engine for Deno frameworks"
"denogram""	""denogram/denogram""	""https://github.com/denogram/denogram""	""20""	""2""	""20""	""3""	""false""	""A Telegram Bot framework for Deno 🦕"
"denopack""	""denofn/denopack""	""https://github.com/denofn/denopack""	""20""	""2""	""20""	""1""	""false""	""The bundling and minification toolset, made for Deno"
"dmm""	""drashland/dmm""	""https://github.com/drashland/dmm""	""19""	""2""	""19""	""2""	""false""	""Lightweight Deno Module Manager"
"hash-wasm""	""Daninet/hash-wasm""	""https://github.com/Daninet/hash-wasm""	""19""	""1""	""19""	""2""	""false""	""Fast hash functions compiled to WebAssembly"
"deno-is""	""justjavac/deno-is""	""https://github.com/justjavac/deno-is""	""19""	""0""	""19""	""1""	""false""	""Detect the running environment and context of the current script"
"router""	""zhmushan/router""	""https://github.com/zhmushan/router""	""19""	""0""	""19""	""1""	""false""	""A high-performance basic router works anywhere."
"coffee""	""irandeno/coffee""	""https://github.com/irandeno/coffee""	""18""	""5""	""18""	""3""	""false""	""Deno Configuration"
"dpx""	""denorg/dpx""	""https://github.com/denorg/dpx""	""18""	""1""	""18""	""5""	""false""	""📦 CLI to run a Deno package without installing it (like npx for Deno)"
"dev_server""	""zhmushan/dev_server""	""https://github.com/zhmushan/dev_server""	""18""	""1""	""18""	""2""	""false""	""Feel free to import TypeScript files in the script tag!"
"graphql-deno""	""adelsz/graphql-deno""	""https://github.com/adelsz/graphql-deno""	""17""	""0""	""17""	""5""	""false""	""GraphQL-JS ported to Deno"
"deno-bcrypt""	""JamesBroadberry/deno-bcrypt""	""https://github.com/JamesBroadberry/deno-bcrypt""	""17""	""0""	""17""	""2""	""false""	""A port of jBCrypt to TypeScript for use as a Deno module"
"superoak""	""asos-craigmorten/superoak""	""https://github.com/asos-craigmorten/superoak""	""17""	""0""	""17""	""1""	""false""	""HTTP assertions for Oak made easy via SuperDeno. 🐿 🦕"
"cordeno""	""cordeno/cordeno""	""https://github.com/cordeno/cordeno""	""16""	""5""	""16""	""2""	""false""	""🦕 A Discord API wrapper for developing discord bots using the Deno runtime."
"deno_graphql""	""cvng/deno_graphql""	""https://github.com/cvng/deno_graphql""	""16""	""4""	""16""	""3""	""false""	""GraphQL HTTP middlewares for Deno server frameworks."
"deno_gui""	""fakoua/deno_gui""	""https://github.com/fakoua/deno_gui""	""16""	""2""	""16""	""2""	""false""	""Deno Web GUI"
"youtube-deno""	""akshgpt7/youtube-deno""	""https://github.com/akshgpt7/youtube-deno""	""16""	""2""	""16""	""1""	""false""	""A Deno client library of the YouTube Data API."
"Fae""	""Jozty/Fae""	""https://github.com/Jozty/Fae""	""16""	""1""	""16""	""3""	""false""	""A functional module for Deno inspired from Ramda."
"pgc4d""	""jakajancar/pgc4d""	""https://github.com/jakajancar/pgc4d""	""16""	""1""	""16""	""2""	""false""	""A full-featured PostgreSQL Client for Deno"
"ddoc""	""denosaurs/ddoc""	""https://github.com/denosaurs/ddoc""	""16""	""1""	""16""	""0""	""false""	""📑 Offline deno documentation in a desktop app, generated locally"
"cors""	""tajpouria/cors""	""https://github.com/tajpouria/cors""	""15""	""5""	""15""	""1""	""false""	""Deno.js CORS middleware"
"flowed""	""danielduarte/flowed""	""https://github.com/danielduarte/flowed""	""15""	""1""	""15""	""6""	""false""	""A fast and reliable flow engine for orchestration and more uses in Node.js, Deno and the browser"
"MQTT.ts""	""jdiamond/MQTT.ts""	""https://github.com/jdiamond/MQTT.ts""	""15""	""1""	""15""	""1""	""false""	""MQTT in TypeScript for Deno, Node.js, and browsers"
"dexecutor""	""denjucks/dexecutor""	""https://github.com/denjucks/dexecutor""	""15""	""1""	""15""	""1""	""false""	""Deno SQL Executor"
"dinja""	""denjucks/dinja""	""https://github.com/denjucks/dinja""	""15""	""0""	""15""	""2""	""false""	""Deno web framework"
"saur""	""tubbo/saur""	""https://github.com/tubbo/saur""	""15""	""0""	""15""	""2""	""false""	""a rapid web development framework for deno"
"casualdb""	""campvanilla/casualdb""	""https://github.com/campvanilla/casualdb""	""14""	""3""	""14""	""4""	""false""	""Simple JSON ""database"" for Deno with type-safety! ⚡️"
"deno_math""	""axetroy/deno_math""	""https://github.com/axetroy/deno_math""	""14""	""2""	""14""	""2""	""false""	""Deno module for high-precision calculations and scientific computing"
"deno-dom""	""b-fuze/deno-dom""	""https://github.com/b-fuze/deno-dom""	""14""	""1""	""14""	""6""	""false""	""Browser DOM in Deno"
"yolk""	""denjucks/yolk""	""https://github.com/denjucks/yolk""	""14""	""1""	""14""	""2""	""false""	""Yolk CLI - An Oak-based, batteries included CLI tool for the Oak framework, used to quickly create, structure, and run Oak applications."
"middleware""	""oakserver/middleware""	""https://github.com/oakserver/middleware""	""13""	""3""	""13""	""1""	""false""	""A collection of middleware to use with oak. 🐿️ 🦕"
"deno-amqp""	""lenkan/deno-amqp""	""https://github.com/lenkan/deno-amqp""	""13""	""3""	""13""	""1""	""false""	"""
"Ogone""	""SRNV/Ogone""	""https://github.com/SRNV/Ogone""	""13""	""2""	""13""	""1""	""false""	""Web-components compiler for Deno"
"prettyBenching""	""littletof/prettyBenching""	""https://github.com/littletof/prettyBenching""	""13""	""1""	""13""	""2""	""false""	"":sauropod: A small lib to make your Deno benchmarking progress and results look pretty"
"lazy""	""luvies/lazy""	""https://github.com/luvies/lazy""	""13""	""1""	""13""	""1""	""false""	""A linq-like lazy-evaluation enumerable/iteration library that aims to support deno, node & browser"
"deno_sqlite_plugin""	""crabmusket/deno_sqlite_plugin""	""https://github.com/crabmusket/deno_sqlite_plugin""	""13""	""1""	""13""	""1""	""false""	""Bindings to rusqlite for Deno"
"core""	""levo-framework/core""	""https://github.com/levo-framework/core""	""13""	""0""	""13""	""3""	""false""	""Server side rendering with The Elm Architecture in Deno"
"deno_di""	""luvies/deno_di""	""https://github.com/luvies/deno_di""	""13""	""0""	""13""	""2""	""false""	""A dependency injection (IoC) module for deno"
"nats.deno""	""nats-io/nats.deno""	""https://github.com/nats-io/nats.deno""	""13""	""0""	""13""	""2""	""false""	""Deno client for NATS, the cloud native messaging system"
"Upload-middleware-for-Oak-Deno-framework""	""hviana/Upload-middleware-for-Oak-Deno-framework""	""https://github.com/hviana/Upload-middleware-for-Oak-Deno-framework""	""12""	""5""	""12""	""2""	""false""	""This middleware automatically organizes uploads to avoid file system problems and create dirs if not exists, perform validations and optimizes ram usage when uploading big files using Deno standard libraries!"
"dynamodb""	""chiefbiiko/dynamodb""	""https://github.com/chiefbiiko/dynamodb""	""12""	""5""	""12""	""1""	""false""	""deno <3 dynamodb"
"deno-cef""	""denjucks/deno-cef""	""https://github.com/denjucks/deno-cef""	""12""	""4""	""12""	""3""	""false""	""The Chromium Embedded Framework for Deno."
"Bundler""	""timreichen/Bundler""	""https://github.com/timreichen/Bundler""	""12""	""3""	""12""	""2""	""false""	""A lightweight bundler that transpiles deno typescript files for the web."
"deno-argon2""	""fdionisi/deno-argon2""	""https://github.com/fdionisi/deno-argon2""	""12""	""1""	""12""	""2""	""false""	""Argon2 encryption library for Deno"
"progress""	""deno-library/progress""	""https://github.com/deno-library/progress""	""12""	""1""	""12""	""2""	""false""	""ProgressBar in terminal for deno"
"deligenius""	""deligenius/deligenius""	""https://github.com/deligenius/deligenius""	""12""	""1""	""12""	""1""	""false""	""Lightweight Deno middleware framework"
"deno_mod""	""motss/deno_mod""	""https://github.com/motss/deno_mod""	""12""	""0""	""12""	""2""	""false""	""Deno modules"
